siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
ME96,Winter,2002,100,100,100,0.047,0.063,0.023,0.604,0.141,1.464,1.068,1.209,-9,4.491,21.869,12683.700,20.305,12,91,"2001-11-27 00:00","2002-02-26 00:00"
ME96,Spring,2002,92,100,97,0.060,0.069,0.026,0.621,0.160,0.916,1.094,1.126,-9,4.679,16.881,22212.100,35.932,11,91,"2002-02-26 00:00","2002-05-28 00:00"
ME96,Summer,2002,79,100,82,0.076,0.022,0.025,0.112,0.267,0.926,0.217,1.059,-9,4.744,13.018,12680.600,23.139,10,98,"2002-05-28 00:00","2002-09-03 00:00"
ME96,Fall,2002,100,100,100,0.032,0.048,0.016,0.456,0.087,0.503,0.813,0.691,-9,4.846,11.181,20536.300,29.947,13,91,"2002-09-03 00:00","2002-12-03 00:00"
ME96,Winter,2003,100,100,100,0.028,0.042,0.014,0.381,0.056,0.733,0.761,0.647,-9,4.741,11.952,9525.600,16.904,10,84,"2002-12-03 00:00","2003-02-25 00:00"
ME96,Spring,2003,93,100,99,0.059,0.027,0.017,0.208,0.150,0.730,0.370,0.887,-9,4.758,12.040,15451.700,26.430,13,98,"2003-02-25 00:00","2003-06-03 00:00"
ME96,Summer,2003,92,100,93,0.054,0.023,0.014,0.173,0.200,1.011,0.321,1.356,-9,4.521,17.210,10888.200,17.488,10,91,"2003-06-03 00:00","2003-09-02 00:00"
ME96,Fall,2003,77,100,73,0.041,0.056,0.027,0.511,0.067,0.468,0.924,0.654,-9,4.872,11.100,11055.500,42.850,10,91,"2003-09-02 00:00","2003-12-02 00:00"
ME96,Winter,2004,92,100,85,0.086,0.111,0.041,0.990,0.070,0.553,1.834,0.767,-9,4.858,15.030,4089.200,14.884,8,91,"2003-12-02 00:00","2004-03-02 00:00"
ME96,Spring,2004,92,100,97,0.059,0.035,0.018,0.275,0.321,1.085,0.491,1.280,-9,4.673,15.257,18351.500,27.990,12,91,"2004-03-02 00:00","2004-06-01 00:00"
ME96,Summer,2004,85,100,89,0.053,0.027,0.015,0.215,0.239,0.916,0.410,1.563,-9,4.507,18.198,21226.000,34.133,11,91,"2004-06-01 00:00","2004-08-31 00:00"
ME96,Fall,2004,92,100,74,0.039,0.038,0.015,0.341,0.075,0.715,0.614,0.849,-9,4.682,13.191,12084.200,24.397,8,91,"2004-08-31 00:00","2004-11-30 00:00"
ME96,Winter,2005,77,100,77,0.055,0.086,0.031,0.784,0.066,0.817,1.368,0.892,-9,4.668,16.392,10449.900,22.115,9,92,"2004-11-30 00:00","2005-03-02 00:00"
ME96,Spring,2005,92,100,92,0.057,0.045,0.018,0.348,0.141,0.525,0.641,0.832,-9,4.856,10.990,29242.700,50.063,11,90,"2005-03-02 00:00","2005-05-31 00:00"
ME96,Summer,2005,92,100,99,0.057,0.018,0.015,0.109,0.223,0.938,0.209,1.612,-9,4.494,18.574,16447.200,24.206,12,91,"2005-05-31 00:00","2005-08-30 00:00"
ME96,Fall,2005,86,100,92,0.026,0.024,0.011,0.240,0.050,0.262,0.437,0.432,-9,5.034,6.903,36671.100,59.542,9,91,"2005-08-30 00:00","2005-11-29 00:00"
ME96,Winter,2006,92,100,93,0.066,0.064,0.023,0.560,0.075,0.698,0.941,0.858,-9,4.769,13.528,19754.000,31.013,12,91,"2005-11-29 00:00","2006-02-28 00:00"
ME96,Spring,2006,92,100,99,0.071,0.060,0.029,0.499,0.128,0.630,0.902,0.936,-9,4.761,13.222,19626.300,29.553,10,91,"2006-02-28 00:00","2006-05-30 00:00"
ME96,Summer,2006,92,100,87,0.047,0.014,0.013,0.091,0.135,0.598,0.170,0.952,-9,4.694,11.701,30507.600,53.264,11,91,"2006-05-30 00:00","2006-08-29 00:00"
ME96,Fall,2006,85,100,81,0.053,0.053,0.021,0.455,0.125,0.586,0.811,0.916,-9,4.727,12.709,21020.800,39.931,11,91,"2006-08-29 00:00","2006-11-28 00:00"
ME96,Winter,2007,85,100,93,0.047,0.050,0.018,0.452,0.053,0.628,0.802,0.623,-9,4.770,11.455,10414.500,18.796,8,91,"2006-11-28 00:00","2007-02-27 00:00"
ME96,Spring,2007,92,100,99,0.067,0.053,0.021,0.446,0.216,0.771,0.802,1.061,-9,4.722,13.357,16951.600,36.740,12,91,"2007-02-27 00:00","2007-05-29 00:00"
ME96,Summer,2007,85,100,98,0.073,0.031,0.028,0.205,0.272,0.854,0.384,1.672,-9,4.506,17.633,15316.900,22.688,11,91,"2007-05-29 00:00","2007-08-28 00:00"
ME96,Fall,2007,69,100,73,0.039,0.031,0.014,0.281,0.140,0.525,0.509,0.893,-9,4.749,11.045,16381.700,33.096,8,91,"2007-08-28 00:00","2007-11-27 00:00"
ME96,Winter,2008,86,100,86,0.059,0.070,0.027,0.635,0.098,0.731,1.083,0.883,-9,4.694,14.528,19566.500,33.833,10,91,"2007-11-27 00:00","2008-02-26 00:00"
ME96,Spring,2008,64,100,73,0.084,0.052,0.022,0.413,0.158,0.654,0.751,0.925,-9,4.828,11.889,15138.700,32.459,8,98,"2008-02-26 00:00","2008-06-03 00:00"
ME96,Summer,2008,92,100,99,0.051,0.027,0.014,0.210,0.114,0.807,0.397,0.932,-9,4.638,12.942,20800.901,31.928,12,91,"2008-06-03 00:00","2008-09-02 00:00"
ME96,Fall,2008,77,100,73,0.029,0.027,0.010,0.240,0.045,0.328,0.439,0.419,-9,4.999,6.891,25022.500,50.343,10,91,"2008-09-02 00:00","2008-12-02 00:00"
ME96,Winter,2009,92,100,96,0.040,0.032,0.014,0.304,0.052,0.580,0.535,0.400,-9,4.899,8.489,11517.200,28.626,11,91,"2008-12-02 00:00","2009-03-03 00:00"
ME96,Spring,2009,92,100,99,0.067,0.047,0.023,0.380,0.149,0.584,0.669,0.776,-9,4.882,10.068,20795.600,31.750,12,91,"2009-03-03 00:00","2009-06-02 00:00"
ME96,Summer,2009,100,100,100,0.031,0.014,0.008,0.126,0.076,0.328,0.231,0.439,-9,5.005,6.319,37432.200,55.296,13,91,"2009-06-02 00:00","2009-09-01 00:00"
ME96,Fall,2009,92,100,67,0.047,0.063,0.024,0.540,0.071,0.421,0.972,0.548,-9,4.972,9.859,13885.500,32.918,10,91,"2009-09-01 00:00","2009-12-01 00:00"
ME96,Winter,2010,62,100,39,0.116,0.130,0.045,1.163,0.054,0.571,2.040,0.512,-9,5.046,13.504,6758.400,39.294,5,91,"2009-12-01 00:00","2010-03-02 00:00"
ME96,Spring,2010,100,100,100,0.097,0.060,0.024,0.479,0.115,0.457,0.871,0.614,-9,5.088,9.189,19484.300,30.353,10,91,"2010-03-02 00:00","2010-06-01 00:00"
ME96,Summer,2010,92,100,100,0.045,0.012,0.008,0.075,0.223,0.861,0.160,1.031,-9,4.628,13.057,23584.000,34.544,10,91,"2010-06-01 00:00","2010-08-31 00:00"
ME96,Fall,2010,92,100,95,0.053,0.058,0.030,0.495,0.072,0.387,0.908,0.462,-9,5.078,8.617,23647.600,38.125,12,91,"2010-08-31 00:00","2010-11-30 00:00"
ME96,Winter,2011,84,100,80,0.049,0.069,0.024,0.579,0.073,0.547,1.036,0.438,-9,4.959,9.965,8638.800,27.875,11,91,"2010-11-30 00:00","2011-03-01 00:00"
ME96,Spring,2011,91,100,78,0.102,0.080,0.034,0.634,0.192,0.608,1.102,0.759,-9,5.001,10.977,18185.600,36.601,11,91,"2011-03-01 00:00","2011-05-31 00:00"
ME96,Summer,2011,77,100,60,0.071,0.029,0.022,0.191,0.242,0.788,0.361,0.713,-9,4.919,9.368,11724.000,29.261,10,91,"2011-05-31 00:00","2011-08-30 00:00"
ME96,Fall,2011,77,100,85,0.034,0.016,0.009,0.116,0.101,0.355,0.208,0.304,-9,5.184,4.983,19048.600,35.052,9,91,"2011-08-30 00:00","2011-11-29 00:00"
ME96,Winter,2012,69,100,64,0.049,0.046,0.022,0.408,0.416,0.786,0.731,0.516,-9,5.000,10.908,8077.000,23.622,8,91,"2011-11-29 00:00","2012-02-28 00:00"
ME96,Spring,2012,92,100,100,0.050,0.040,0.022,0.348,0.551,0.543,0.625,0.475,-9,5.751,7.725,18904.100,29.972,12,91,"2012-02-28 00:00","2012-05-29 00:00"
ME96,Summer,2012,77,100,86,0.036,0.023,0.018,0.191,0.531,0.559,0.354,0.511,-9,5.722,6.438,22521.100,38.303,10,91,"2012-05-29 00:00","2012-08-28 00:00"
ME96,Fall,2012,62,100,57,0.022,0.022,0.010,0.178,0.365,0.385,0.362,0.367,-9,5.651,5.196,7920.000,21.742,6,91,"2012-08-28 00:00","2012-11-27 00:00"
ME96,Winter,2013,70,100,74,0.043,0.059,0.020,0.487,0.055,0.362,0.876,0.314,-9,5.121,7.792,6825.500,26.137,8,91,"2012-11-27 00:00","2013-02-26 00:00"
ME96,Spring,2013,85,100,89,0.059,0.037,0.020,0.267,0.209,0.480,0.491,0.459,-9,5.340,6.267,13434.100,25.095,10,91,"2013-02-26 00:00","2013-05-28 00:00"
ME96,Summer,2013,100,100,100,0.035,0.019,0.020,0.126,0.205,0.582,0.234,0.475,-9,5.078,6.811,24964.300,36.205,13,98,"2013-05-28 00:00","2013-09-03 00:00"
ME96,Fall,2013,85,100,31,0.087,0.089,0.042,0.679,0.280,1.063,1.185,0.919,-9,4.828,14.899,4348.200,24.460,9,91,"2013-09-03 00:00","2013-12-03 00:00"
ME96,Winter,2014,39,100,41,0.027,0.019,0.010,0.146,0.084,0.660,0.264,0.341,-9,4.866,8.552,4394.400,29.769,4,84,"2013-12-03 00:00","2014-02-25 00:00"
ME96,Spring,2014,71,100,71,0.067,0.036,0.016,0.268,0.211,0.536,0.477,0.498,-9,5.101,7.571,11538.300,25.440,9,98,"2014-02-25 00:00","2014-06-03 00:00"
ME96,Summer,2014,100,100,100,0.032,0.020,0.012,0.165,0.102,0.414,0.305,0.292,-9,5.106,5.634,32350.500,47.650,13,91,"2014-06-03 00:00","2014-09-02 00:00"
ME96,Fall,2014,92,100,98,0.029,0.045,0.018,0.400,0.117,0.335,0.708,0.367,-9,5.162,7.142,16255.800,27.330,11,92,"2014-09-02 00:00","2014-12-03 00:00"
ME96,Winter,2015,91,100,88,0.035,0.065,0.023,0.574,0.067,0.736,1.036,0.421,-9,4.867,11.418,12835.700,30.836,11,90,"2014-12-03 00:00","2015-03-03 00:00"
ME96,Spring,2015,85,100,67,0.065,0.076,0.031,0.623,0.165,0.542,1.138,0.584,-9,5.052,10.478,10602.100,24.638,10,91,"2015-03-03 00:00","2015-06-02 00:00"
ME96,Summer,2015,77,100,61,0.058,0.042,0.019,0.305,0.124,0.601,0.567,0.406,-9,4.965,8.615,8540.800,23.571,9,91,"2015-06-02 00:00","2015-09-01 00:00"
ME96,Fall,2015,77,100,80,0.045,0.063,0.022,0.502,0.063,0.185,0.908,0.279,-9,5.330,6.609,17862.400,33.528,7,91,"2015-09-01 00:00","2015-12-01 00:00"
ME96,Winter,2016,85,100,78,0.042,0.078,0.028,0.655,0.093,0.417,1.180,0.382,-9,5.021,9.676,13650.600,31.699,9,91,"2015-12-01 00:00","2016-03-01 00:00"
ME96,Spring,2016,92,100,87,0.070,0.071,0.031,0.595,0.179,0.511,1.095,0.467,-9,5.162,9.120,11437.000,22.123,10,91,"2016-03-01 00:00","2016-05-31 00:00"
ME96,Summer,2016,85,100,99,0.052,0.020,0.020,0.116,0.154,0.571,0.218,0.336,-9,5.062,6.388,17412.000,26.924,9,91,"2016-05-31 00:00","2016-08-30 00:00"
ME96,Fall,2016,92,100,97,0.037,0.050,0.021,0.391,0.120,0.364,0.719,0.330,-9,5.199,7.100,15588.300,24.765,11,91,"2016-08-30 00:00","2016-11-29 00:00"
ME96,Winter,2017,85,100,91,0.044,0.053,0.020,0.446,0.097,0.399,0.807,0.314,-9,5.079,7.730,17115.500,38.202,10,91,"2016-11-29 00:00","2017-02-28 00:00"
ME96,Spring,2017,92,100,97,0.052,0.043,0.019,0.330,0.120,0.492,0.615,0.366,-9,4.999,7.860,16719.900,34.194,12,91,"2017-02-28 00:00","2017-05-30 00:00"
ME96,Summer,2017,62,100,79,0.082,0.045,0.020,0.234,0.247,0.643,0.443,0.381,-9,5.100,7.638,8299.400,16.612,8,91,"2017-05-30 00:00","2017-08-29 00:00"
ME96,Fall,2017,69,100,34,0.034,0.033,0.018,0.278,0.416,0.397,0.513,0.281,-9,5.190,7.956,5719.100,26.721,5,91,"2017-08-29 00:00","2017-11-28 00:00"
ME96,Winter,2018,85,100,90,0.059,0.052,0.022,0.450,0.151,0.700,0.804,0.409,-9,4.946,8.965,14495.600,28.843,9,91,"2017-11-28 00:00","2018-02-27 00:00"
ME96,Spring,2018,92,100,88,0.149,0.058,0.034,0.356,0.181,0.523,0.659,0.329,-9,5.180,7.720,8337.000,22.048,11,91,"2018-02-27 00:00","2018-05-29 00:00"
ME96,Summer,2018,85,100,96,0.056,0.043,0.022,0.352,0.128,0.606,0.661,0.356,-9,4.990,7.894,13637.500,21.466,11,91,"2018-05-29 00:00","2018-08-28 00:00"
ME96,Fall,2018,100,100,100,0.055,0.061,0.033,0.483,0.112,0.407,0.905,0.357,-9,5.137,7.698,26949.900,48.299,13,98,"2018-08-28 00:00","2018-12-04 00:00"
ME96,Winter,2019,88,95,84,0.053,0.075,0.026,0.648,0.092,0.347,1.208,0.343,-9,5.100,8.908,12005.700,26.820,10,88,"2018-12-04 00:00","2019-02-26 00:00"
ME96,Spring,2019,88,94,93,0.077,0.051,0.028,0.402,0.245,0.667,0.735,0.430,-9,5.119,8.315,15608.700,26.807,12,97,"2019-02-26 00:00","2019-05-28 00:00"
ME96,Summer,2019,100,100,100,0.035,0.016,0.032,0.110,0.167,0.536,0.211,0.261,-9,5.141,5.379,22842.100,34.427,12,91,"2019-05-28 00:00","2019-09-03 00:00"
ME96,Fall,2019,86,100,88,0.062,0.039,0.018,0.331,0.170,0.491,0.616,0.325,-9,5.161,6.759,16295.200,27.429,10,91,"2019-09-03 00:00","2019-12-04 00:00"
ME96,Winter,2020,92,99,93,0.045,0.090,0.030,0.776,0.059,0.268,1.413,0.298,-9,5.175,8.974,18479.100,30.585,11,91,"2019-12-04 00:00","2020-03-03 00:00"
ME96,Spring,2020,80,100,54,0.039,0.043,0.020,0.358,0.149,0.348,0.642,0.292,-9,5.226,6.630,9514.600,27.737,7,87,"2020-03-03 00:00","2020-06-02 00:00"
